,codigo_comuna,codigo_barrio,hurtos,hurtos_peligrosos,hurtos_no_peligrosos,hurtos_a_mujeres,hurtos_a_hombres,hurtos_en_transporte_publico,hurtos_en_transporte_particular,hurtos_en_via_publica,hurtos_niños,hurtos_jovenes,hurtos_adultos,hurtos_adultos_mayores
306,80,8003,16,12.0,4.0,13.0,3.0,16,6.0,10.0,0.0,0.0,15.0,1.0
307,50,5005,15,13.0,2.0,14.0,1.0,15,12.0,2.0,0.0,0.0,15.0,0.0
308,60,6004,14,9.0,5.0,13.0,1.0,13,9.0,6.0,0.0,0.0,14.0,0.0
309,60,6017,14,5.0,9.0,12.0,2.0,14,13.0,5.0,0.0,1.0,13.0,0.0
310,3,0315,14,5.0,9.0,9.0,5.0,14,12.0,8.0,0.0,0.0,12.0,2.0
311,60,6003,12,9.0,3.0,11.0,1.0,12,5.0,7.0,0.0,0.0,8.0,4.0
312,60,6010,11,5.0,6.0,5.0,6.0,11,11.0,0.0,0.0,0.0,11.0,0.0
313,80,8008,11,7.0,4.0,9.0,2.0,11,8.0,3.0,1.0,0.0,10.0,0.0
314,70,7001,10,8.0,2.0,9.0,1.0,10,9.0,1.0,0.0,0.0,10.0,0.0
315,50,5004,9,3.0,6.0,4.0,5.0,8,5.0,5.0,0.0,0.0,9.0,0.0
316,80,8005,9,9.0,0.0,7.0,2.0,5,8.0,5.0,0.0,0.0,5.0,4.0
317,80,8006,8,3.0,5.0,6.0,2.0,8,6.0,2.0,1.0,1.0,6.0,0.0
318,80,8001,8,6.0,2.0,6.0,2.0,6,6.0,3.0,0.0,1.0,7.0,0.0
319,60,6002,8,3.0,5.0,4.0,4.0,8,5.0,3.0,0.0,0.0,8.0,0.0
320,70,7008,8,6.0,2.0,7.0,1.0,8,5.0,3.0,0.0,0.0,8.0,0.0
321,60,6008,6,4.0,2.0,6.0,3.0,5,4.0,3.0,3.0,0.0,3.0,0.0
322,50,5002,5,3.0,2.0,5.0,0.0,5,2.0,3.0,0.0,0.0,5.0,0.0
323,50,5007,5,4.0,1.0,5.0,0.0,4,3.0,3.0,0.0,0.0,5.0,0.0
324,50,5006,4,3.0,1.0,2.0,2.0,4,3.0,1.0,0.0,0.0,4.0,0.0
325,50,5008,2,2.0,0.0,2.0,0.0,2,0.0,2.0,0.0,0.0,2.0,0.0
326,50,5003,1,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0
327,50,5001,1,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0
328,60,ae3,1,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0
